Data generated by the ASTRA High Altitude Balloon Flight Planner - University of Southampton,,,,,
Simulation #,Time from launch [s],Latitude,Longitude,Altitude [m],Remarks
1.0,90.0,29.208643867203943,-81.02799679218366,263.83783433703854,
1.0,93.0,29.208579840913725,-81.02817773763039,272.56965118086543,
1.0,96.0,29.208516914100006,-81.02835966389054,281.30146802469227,
1.0,99.0,29.20845509432133,-81.02854256166434,290.0332848685191,
1.0,102.0,29.20839438906765,-81.02872642158795,298.76510171234594,
1.0,105.0,29.2083348057601,-81.02891123423422,307.49691855617283,
1.0,108.0,29.208276351750868,-81.02909699011356,316.22873539999966,
1.0,111.0,29.208219034322877,-81.02928367967445,324.9605522438265,
1.0,114.0,29.208162861636996,-81.02947129403934,333.6997168384561,
1.0,117.0,29.208107842073623,-81.02965982445258,342.44831566228555,
1.0,120.0,29.208053982734544,-81.02984926114455,351.1969144861149,
1.0,123.0,29.20800129065122,-81.03003959428641,359.9455133099443,
1.0,126.0,29.207949772784495,-81.03023081399066,368.69411213377373,
1.0,129.0,29.20789943602453,-81.03042291031203,377.4427109576032,
1.0,132.0,29.20785028719055,-81.03061587324811,386.1913097814326,
1.0,135.0,29.20780233303069,-81.03080969273996,394.939908605262,
1.0,138.0,29.20775558022191,-81.03100435867309,403.68850742909143,
1.0,141.0,29.20771003536976,-81.03119986087785,412.43710625292084,
1.0,144.0,29.207665642436044,-81.03139608835372,421.18570507675025,
1.0,147.0,29.20762236157441,-81.03159296043582,429.93430390057966,
1.0,150.0,29.207580196551373,-81.0317904678827,438.6829027244091,
1.0,153.0,29.207539151069913,-81.03198860144357,447.4315015482385,
1.0,156.0,29.207499228769628,-81.03218735185507,456.1801003720679,
1.0,159.0,29.207460448711814,-81.03238671766137,465.0507617373392,
1.0,162.0,29.207422799165244,-81.03258668172693,473.8008386484886,
1.0,165.0,29.207386283726578,-81.03278723482019,482.5520516681523,
1.0,168.0,29.20735090593154,-81.03298836769721,491.3044007963301,
1.0,171.0,29.207316669255192,-81.03319007110099,500.0578860330222,
1.0,174.0,29.207283577112083,-81.0333923357617,508.8125073782285,
1.0,177.0,29.207251632856547,-81.03359515239751,517.568264831949,
1.0,180.0,29.207220839782885,-81.03379851171485,526.3251583941837,
1.0,183.0,29.20719120112558,-81.03400240440894,535.0831880649328,
1.0,186.0,29.207162720059582,-81.03420682116445,543.8423538441959,
1.0,189.0,29.207135399700494,-81.03441175265571,552.6026557319734,
1.0,192.0,29.20710924310484,-81.03461718954752,561.3640937282651,
1.0,195.0,29.20708425327027,-81.03482312249531,570.1266678330709,
1.0,198.0,29.207060433135798,-81.03502954214568,578.890378046391,
1.0,201.0,29.207037785583804,-81.03523643913768,587.6552373969096,
1.0,204.0,29.20701631344583,-81.03544380410503,596.4213011457997,
1.0,207.0,29.206996019486944,-81.03565162767066,605.1885043763214,
1.0,210.0,29.206976906414578,-81.03585990045057,613.9568470884748,
1.0,213.0,29.206958976878703,-81.03606861305406,622.7263292822597,
1.0,216.0,29.20694223347214,-81.03627775608433,631.4969509576762,
1.0,219.0,29.206926432177575,-81.03648726556618,640.2687121147243,
1.0,222.0,29.20691142562887,-81.03669710303195,649.0416127534038,
1.0,225.0,29.20689721513703,-81.03690726390164,657.8156528737152,
1.0,228.0,29.20688380199049,-81.03711774361393,666.5908324756579,
1.0,231.0,29.206871187455278,-81.0373285376073,675.3671515592323,
1.0,234.0,29.20685937277506,-81.03753964131985,684.1446101244383,
1.0,237.0,29.206848359171232,-81.03775105018957,692.9232081712757,
1.0,240.0,29.206838147843047,-81.03796275965462,701.7029456997448,
1.0,243.0,29.20682873996769,-81.0381747651533,710.4838227098455,
1.0,246.0,29.20682013670034,-81.03838706212419,719.2658392015777,
1.0,249.0,29.206812339174345,-81.03859964600653,728.0489951749416,
