name,styleUrl,Polygon/outerBoundaryIs/LinearRing/tessellate,Polygon/outerBoundaryIs/LinearRing/coordinates,_id
Highway,#poly-000000-2000-77-nodesc,1,"-116.478964,35.038572,0 -116.478621,35.026062,0 -116.463601,35.026449,0 -116.463772,35.039521,0 -116.478964,35.038572,0",0A28E8DA6718BEE40540
Highway,#poly-000000-2000-77-nodesc,1,"-116.2152878,35.1376258,0 -116.2151594,35.1309228,0 -116.2060401,35.1312036,0 -116.2062116,35.1377837,0 -116.2152878,35.1376258,0",0E19B41A4418BEE40541
Highway,#poly-000000-1200-77-nodesc,1,"-116.4204087,35.0746642,0 -116.420752,35.0651807,0 -116.401483,35.0651104,0 -116.4016546,35.0750154,0 -116.4204087,35.0746642,0",1326BE8AE118BEE40541
