name,styleUrl,Polygon/outerBoundaryIs/LinearRing/tessellate,Polygon/outerBoundaryIs/LinearRing/coordinates,_id
lake,#poly-000000-2000-77-nodesc,1,"-117.789551,33.994122,0 -117.789551,33.988713,0 -117.784401,33.988713,0 -117.784401,33.994691,0 -117.789551,33.994122,0",001F707D2F18BEE34D4C
lake,#poly-000000-2000-77-nodesc,1,"-117.672892,33.955876,0 -117.671862,33.95132,0 -117.666369,33.951604,0 -117.667056,33.955591,0 -117.672892,33.955876,0",167DAE43BF18BEE34D4C
